




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Clarke                        61779                         6192                          830                           4570                          0                             11592                         10946                         1805                          13358                         0                             26109                         37701                         
Columbia                      18428                         3523                          168                           2751                          0                             6442                          1076                          208                           945                           0                             2229                          8671                          
Glascock                      1837                          469                           68                            610                           0                             1147                          74                            12                            21                            0                             107                           1254                          
Greene                        12081                         1578                          223                           4145                          0                             5946                          1155                          389                           1417                          0                             2961                          8907                          
Gwinnett                      50444                         8999                          714                           8867                          0                             18580                         5740                          787                           6810                          0                             13337                         31917                         
Hancock                       5601                          390                           54                            465                           0                             909                           1066                          411                           1018                          0                             2495                          3404                          
Henry                         36919                         6666                          391                           8281                          0                             15338                         2663                          465                           4283                          0                             7411                          22749                         
Jasper                        9030                          1881                          248                           2240                          0                             4369                          580                           166                           695                           0                             1441                          5810                          
Jefferson                     10349                         1566                          145                           1435                          0                             3146                          1681                          432                           1275                          0                             3388                          6534                          
Johnson                       5060                          856                           136                           1478                          0                             2470                          367                           90                            451                           0                             908                           3378                          
Lincoln                       5748                          1201                          117                           1426                          0                             2744                          438                           228                           489                           0                             1155                          3899                          
McDuffie                      13587                         1730                          381                           3202                          0                             5313                          1101                          474                           1782                          0                             3357                          8670                          
Morgan                        13100                         2762                          169                           3892                          0                             6823                          911                           222                           1420                          0                             2553                          9376                          
Newton                        18655                         4742                          221                           2498                          0                             7461                          1174                          195                           973                           0                             2342                          9803                          
Oconee                        27538                         5899                          522                           8159                          0                             14580                         2038                          391                           3373                          0                             5802                          20382                         
Oglethorpe                    9473                          1784                          290                           2459                          0                             4533                          813                           111                           909                           0                             1833                          6366                          
Putnam                        13578                         2812                          336                           3559                          0                             6707                          991                           239                           1229                          0                             2459                          9166                          
Taliaferro                    1211                          139                           36                            187                           0                             362                           153                           111                           218                           0                             482                           844                           
Walton                        61655                         17494                         1089                          11083                         0                             29666                         4699                          650                           3132                          0                             8481                          38147                         
Warren                        3519                          313                           67                            677                           0                             1057                          472                           119                           549                           0                             1140                          2197                          
Washington                    11988                         1600                          234                           2210                          0                             4044                          1797                          467                           1604                          0                             3868                          7912                          
Wilkes                        6345                          1128                          90                            1354                          0                             2572                          806                           196                           670                           0                             1672                          4244                          
Totals:                       484118                        88596                         7785                          93833                         0                             190214                        47755                         9664                          54698                         0                             112117                        302331                        

                                                                                                                                                    U.S. Representative, District 11
                                                            BARRY LOUDERMILK (I) (REP)                                                                                                                            FLYNN D. BROADY JR (DEM)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bartow                        64074                         15212                         972                           12306                         0                             28490                         4062                          565                           3668                          0                             8295                          36785                         
Cherokee                      165612                        38732                         3189                          36109                         0                             78030                         12925                         2005                          11988                         0                             26918                         104948                        
Cobb                          260510                        42883                         4738                          24427                         0                             72048                         36999                         6424                          29909                         0                             73332                         145380                        
Fulton                        35155                         5368                          532                           7071                          0                             12971                         3073                          704                           5751                          0                             9528                          22499                         
Totals:                       525351                        102195                        9431                          79913                         0                             191539                        57059                         9698                          51316                         0                             118073                        309612                        

                                                                                                                                                    U.S. Representative, District 12
                                                            RICK W. ALLEN (I) (REP)                                                                                                                               FRANCYS JOHNSON (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Appling                       10613                         2297                          354                           2691                          0                             5342                          606                           165                           545                           0                             1316                          6658                          
Bulloch                       39983                         7602                          542                           6741                          0                             14885                         3553                          521                           4328                          0                             8402                          23287                         
Burke                         14449                         2366                          255                           1871                          0                             4492                          2120                          701                           1291                          0                             4112                          8604                          
Candler                       5572                          683                           59                            1801                          0                             2543                          385                           58                            508                           1                             952                           3495                          
Coffee                        21900                         2922                          180                           5003                          0                             8105                          1486                          203                           1504                          0                             3193                          11298                         
Columbia                      85070                         16873                         1203                          17553                         0                             35629                         7165                          1283                          8235                          0                             16683                         52312                         
Effingham                     18361                         3003                          140                           3741                          0                             6884                          901                           109                           822                           0                             1832                          8716                          
Emanuel                       12343                         2608                          235                           2558                          0                             5401                          1198                          151                           815                           0                             2164                          7565                          
Evans                         5569                          652                           122                           1597                          0                             2371                          401                           75                            536                           0                             1012                          3383                          
Jeff Davis                    7556                          1486                          158                           2252                          0                             3896                          357                           63                            367                           0                             787                           4683                          
Jenkins                       4677                          675                           76                            1122                          11                            1884                          425                           110                           427                           5                             967                           2851                          
Laurens                       28805                         6253                          657                           5507                          0                             12417                         2704                          580                           2813                          0                             6097                          18514                         
Montgomery                    5145                          1467                          107                           1079                          0                             2653                          388                           95                            309                           0                             792                           3445                          
Richmond                      122747                        14093                         1318                          8276                          0                             23687                         21467                         3924                          20226                         0                             45617                         69304                         
Screven                       8594                          1374                          94                            1743                          0                             3211                          1046                          174                           899                           0                             2119                          5330                          
Tattnall                      11036                         2014                          253                           2755                          0                             5022                          642                           135                           721                           0                             1498                          6520                          
Toombs                        15700                         2338                          324                           3911                          0                             6573                          922                           345                           886                           0                             2153                          8726                          
Treutlen                      4025                          541                           71                            1151                          0                             1763                          231                           64                            450                           4                             749                           2512                          
Wheeler                       2751                          551                           66                            725                           3                             1345                          267                           47                            231                           1                             546                           1891                          
Totals:                       424896                        69798                         6214                          72077                         14                            148103                        46264                         8803                          45913                         11                            100991                        249094                        

                                                                                                                                                    U.S. Representative, District 13
                                                            DAVID CALLAHAN (REP)                                                                                                                                  DAVID SCOTT (I) (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Clayton                       107378                        2831                          278                           3823                          0                             6932                          20984                         2066                          27394                         0                             50444                         57376                         
Cobb                          128038                        10319                         1580                          7493                          0                             19392                         22460                         4250                          23487                         0                             50197                         69589                         
Douglas                       89305                         8621                          993                           11881                         0                             21495                         12775                         2205                          17978                         0                             32958                         54453                         
Fayette                       21145                         1732                          146                           1788                          0                             3666                          2630                          392                           3532                          0                             6554                          10220                         
Fulton                        93712                         2028                          162                           1371                          0                             3561                          18544                         1094                          29890                         0                             49528                         53089                         
Henry                         73498                         4980                          627                           8808                          0                             14415                         10229                         1810                          19269                         0                             31308                         45723                         
Totals:                       513076                        30511                         3786                          35164                         0                             69461                         87622                         11817                         121550                        0                             220989                        290450                        

                                                                                                                                                    U.S. Representative, District 14
                                                            TOM GRAVES (I) (REP)                                                                                                                                  STEVEN LAMAR FOSTER (DEM)                                                                                                                             
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Catoosa                       40513                         7549                          366                           10960                         0                             18875                         1808                          158                           2497                          0                             4463                          23338                         
Chattooga                     11099                         2937                          146                           2711                          0                             5794                          736                           75                            669                           0                             1480                          7274                          
Dade                          10496                         2276                          86                            2074                          0                             4436                          418                           40                            425                           0                             883                           5319                          
Floyd                         52469                         11182                         679                           9836                          0                             21697                         3783                          558                           3622                          0                             7963                          29660                         
Gordon                        30086                         7382                          372                           6533                          0                             14287                         1543                          159                           1418                          0                             3120                          17407                         
Haralson                      17923                         5212                          285                           3667                          0                             9164                          680                           102                           459                           0                             1241                          10405                         
Murray                        19170                         4776                          161                           4376                          0                             9313                          836                           96                            647                           0                             1579                          10892                         
Paulding                      98948                         16821                         1868                          22230                         0                             40919                         7823                          1322                          10181                         0                             19326                         60245                         
Pickens                       8037                          2044                          51                            1772                          0                             3867                          243                           8                             247                           0                             498                           4365                          
Polk                          20970                         3624                          278                           6171                          0                             10073                         936                           158                           1457                          0                             2551                          12624                         
Walker                        38613                         7611                          563                           9089                          0                             17263                         1718                          230                           1892                          0                             3840                          21103                         
Whitfield                     46058                         12077                         616                           7101                          0                             19794                         4240                          368                           2289                          0                             6897                          26691                         
Totals:                       394382                        83491                         5471                          86520                         0                             175482                        24764                         3274                          25803                         0                             53841                         229323                        

                                                                                                                                                           State Senator, District 1
                                                            BEN WATSON (I) (REP)                                                                                                                                  SANDRA WORKMAN  (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bryan                         25712                         4279                          229                           6018                          0                             10526                         1684                          332                           2238                          0                             4254                          14780                         
Chatham                       71699                         18889                         948                           7453                          0                             27290                         8458                          1088                          6147                          0                             15693                         42983                         
Liberty                       26113                         2070                          154                           2226                          0                             4450                          2598                          581                           4093                          0                             7272                          11722                         
Totals:                       123524                        25238                         1331                          15697                         0                             42266                         12740                         2001                          12478                         0                             27219                         69485                         

                                                                                State Senator, District 2
                                                            LESTER G. JACKSON III (I) (DEM)                                                                                                                       
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chatham                       118210                        30408                         3484                          15534                         0                             49426                         49426                         
Totals:                       118210                        30408                         3484                          15534                         0                             49426                         49426                         

                                                                                                                                                           State Senator, District 3
                                                            WILLIAM T. LIGON JR (I) (REP)                                                                                                                         JERROLD DAGEN  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Brantley                      9984                          2314                          149                           2581                          0                             5044                          250                           36                            251                           0                             537                           5581                          
Camden                        31632                         5298                          508                           5388                          0                             11194                         2319                          666                           2616                          0                             5601                          16795                         
Charlton                      4986                          687                           59                            811                           1                             1558                          339                           56                            334                           0                             729                           2287                          
Glynn                         54274                         8753                          810                           11473                         0                             21036                         4188                          964                           5847                          0                             10999                         32035                         
McIntosh                      8962                          1213                          187                           1863                          0                             3263                          746                           243                           1022                          0                             2011                          5274                          
Totals:                       109838                        18265                         1713                          22116                         1                             42095                         7842                          1965                          10070                         0                             19877                         61972                         

                                                                                State Senator, District 4
                                                            JACK HILL (I) (REP)                                                                                                                                   
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bulloch                       39983                         9503                          764                           8771                          0                             19038                         19038                         
Candler                       5572                          901                           89                            2050                          1                             3041                          3041                          
Effingham                     38132                         10342                         539                           9345                          0                             20226                         20226                         
Emanuel                       8544                          1739                          214                           2097                          0                             4050                          4050                          
Evans                         5569                          899                           156                           1865                          0                             2920                          2920                          
Tattnall                      4512                          1063                          101                           1212                          0                             2376                          2376                          
Totals:                       102312                        24447                         1863                          25340                         1                             51651                         51651                         

                                                                                State Senator, District 5
                                                            SHEIKH RAHMAN  (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gwinnett                      84689                         18237                         2253                          13668                         0                             34158                         34158                         
Totals:                       84689                         18237                         2253                          13668                         0                             34158                         34158                         

                                                                                                                                                           State Senator, District 6
                                                            LEAH ALDRIDGE (REP)                                                                                                                                   JEN JORDAN (I) (DEM)                                                                                                                                  
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cobb                          81473                         7654                          1063                          3522                          0                             12239                         13444                         2160                          10489                         0                             26093                         38332                         
Fulton                        62513                         8879                          1018                          10972                         0                             20869                         7368                          1421                          11493                         0                             20282                         41151                         
Totals:                       143986                        16533                         2081                          14494                         0                             33108                         20812                         3581                          21982                         0                             46375                         79483                         

                                                                                State Senator, District 7
                                                            TYLER HARPER (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Atkinson                      4252                          898                           58                            1045                          0                             2001                          2001                          
Bacon                         6010                          663                           143                           2604                          0                             3410                          3410                          
Ben Hill                      9258                          1232                          182                           2880                          0                             4294                          4294                          
Berrien                       10247                         2498                          259                           2881                          0                             5638                          5638                          
Charlton                      2040                          540                           41                            356                           4                             941                           941                           
Coffee                        21900                         3408                          249                           5434                          0                             9091                          9091                          
Irwin                         5277                          1159                          94                            1728                          0                             2981                          2981                          
Pierce                        10855                         1771                          271                           4251                          0                             6293                          6293                          
