




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Chattahoochee                 3132                          337                           15                            249                           0                             601                           232                           20                            241                           0                             493                           5                             0                             3                             0                             8                             1102                          
Chattooga                     11099                         3035                          141                           2755                          0                             5931                          689                           84                            670                           0                             1443                          26                            0                             27                            0                             53                            7427                          
Cherokee                      165612                        37596                         3139                          35858                         0                             76593                         13653                         2044                          12287                         0                             27984                         1173                          67                            420                           0                             1660                          106237                        
Clarke                        70597                         6627                          913                           4822                          0                             12362                         13301                         2094                          15009                         0                             30404                         354                           30                            126                           0                             510                           43276                         
Clay                          1856                          156                           42                            338                           0                             536                           303                           96                            239                           0                             638                           5                             1                             2                             0                             8                             1182                          
Clayton                       169574                        4381                          509                           5720                          0                             10610                         33719                         3505                          41817                         0                             79041                         196                           29                            134                           0                             359                           90010                         
Clinch                        3884                          638                           48                            1025                          0                             1711                          269                           55                            206                           0                             530                           2                             0                             5                             0                             7                             2248                          
Cobb                          486696                        84398                         9809                          44272                         0                             138479                        85317                         15716                         66610                         0                             167643                        3211                          297                           672                           0                             4180                          310302                        
Coffee                        21900                         2946                          180                           5069                          0                             8195                          1558                          210                           1576                          0                             3344                          32                            3                             17                            0                             52                            11591                         
Colquitt                      21948                         4831                          255                           4739                          0                             9825                          1493                          253                           1303                          0                             3049                          44                            6                             29                            0                             79                            12953                         
Columbia                      95779                         19711                         1303                          19905                         0                             40919                         8803                          1581                          9607                          0                             19991                         455                           35                            174                           0                             664                           61574                         
Cook                          9423                          1625                          116                           2375                          0                             4116                          855                           126                           686                           0                             1667                          10                            2                             8                             0                             20                            5803                          
Coweta                        91585                         21166                         1500                          17799                         0                             40465                         7949                          1279                          7668                          0                             16896                         488                           30                            174                           0                             692                           58053                         
Crawford                      7459                          1594                          125                           1873                          0                             3592                          513                           103                           683                           0                             1299                          23                            3                             11                            0                             37                            4928                          
Crisp                         11674                         1411                          190                           2824                          0                             4425                          1048                          170                           1351                          0                             2569                          11                            1                             16                            0                             28                            7022                          
Dade                          10496                         2271                          84                            2141                          0                             4496                          441                           45                            398                           0                             884                           48                            0                             22                            0                             70                            5450                          
Dawson                        18278                         3502                          319                           6122                          0                             9943                          543                           117                           858                           0                             1518                          66                            3                             40                            0                             109                           11570                         
Decatur                       15201                         2421                          181                           2839                          0                             5441                          1791                          363                           1408                          0                             3562                          23                            3                             13                            0                             39                            9042                          
DeKalb                        494731                        26416                         2836                          19448                         0                             48700                         112048                        16309                         130688                        0                             259045                        1921                          161                           678                           0                             2760                          310505                        
Dodge                         11055                         2355                          262                           2596                          0                             5213                          822                           184                           808                           0                             1814                          15                            2                             7                             0                             24                            7051                          
Dooly                         5669                          760                           60                            1180                          0                             2000                          941                           136                           704                           0                             1781                          7                             0                             5                             0                             12                            3793                          
Dougherty                     57817                         6188                          343                           2773                          0                             9304                          11753                         1535                          8534                          0                             21822                         80                            11                            25                            0                             116                           31242                         
Douglas                       89305                         8633                          978                           12122                         0                             21733                         12827                         2227                          17949                         0                             33003                         285                           25                            148                           0                             458                           55194                         
Early                         6992                          1063                          223                           995                           0                             2281                          1021                          246                           573                           0                             1840                          5                             4                             1                             0                             10                            4131                          
Echols                        1929                          290                           28                            690                           0                             1008                          47                            7                             72                            0                             126                           4                             0                             5                             0                             9                             1143                          
Effingham                     38132                         9029                          419                           8518                          0                             17966                         2683                          323                           2135                          0                             5141                          186                           7                             64                            0                             257                           23364                         
Elbert                        11123                         2190                          235                           2697                          0                             5122                          823                           323                           1010                          0                             2156                          21                            5                             15                            0                             41                            7319                          
